id_pozo,campo,zona_operativa,metodo_extraccion,estado_operativo,fecha_inicio_operacion,fecha_ultimo_reporte,profundidad_m,produccion_bpd,produccion_acumulada_mbbl,corte_agua_pct,api_gravedad,presion_cabeza_psi,temperatura_fondo_c,activo,requiere_mantenimiento
RUB-001,Campo Rubiales,Occidente,Gas Lift,En Mantenimiento,2018-01-01,2026-07-04,2604.1,0.1,1.73,34.9,11.6,228.9,74.0,False,True
RUB-002,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2013-06-19,2026-07-13,2045.3,51.5,1.81,52.3,12.1,182.7,71.1,True,True
RUB-003,Campo Rubiales,Occidente,Bombeo Mecanico,En Mantenimiento,2017-10-19,2026-07-08,2758.9,11.5,1.03,19.0,10.2,231.2,70.3,False,True
RUB-004,Campo Rubiales,Norte,Bombeo Mecanico,En Mantenimiento,2023-07-03,2026-07-01,1922.3,3.6,0.31,21.2,11.1,281.8,92.0,False,True
RUB-005,Campo Rubiales,Oriente,Flujo Natural,En Mantenimiento,2018-03-27,2026-07-07,2439.1,3.4,0.52,38.7,13.0,247.8,74.7,False,True
RUB-006,Campo Rubiales,Norte,Flujo Natural,En Mantenimiento,2011-08-11,2026-07-17,2085.4,4.2,0.95,63.7,10.4,206.1,78.5,False,True
RUB-007,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2011-11-01,2026-06-27,2901.9,116.1,2.12,47.0,12.9,201.9,91.9,True,False
RUB-008,Campo Rubiales,Norte,BES,En Mantenimiento,2017-09-16,2026-06-24,2045.0,23.4,1.94,51.6,10.8,237.6,82.8,False,True
RUB-009,Campo Rubiales,Norte,BES,Activo,2014-01-08,2026-07-15,2243.7,210.4,3.05,50.7,11.0,233.1,76.3,True,True
RUB-010,Campo Rubiales,Sur,Gas Lift,Activo,2022-07-07,2026-07-18,2583.0,333.5,0.62,17.3,12.7,278.9,75.7,True,False
RUB-011,Campo Rubiales,Centro,Gas Lift,Activo,2020-03-30,2026-06-22,2172.6,140.9,0.83,30.9,8.7,283.3,64.5,True,False
RUB-012,Campo Rubiales,Norte,BES,Activo,2015-10-07,2026-06-28,1660.5,79.7,2.36,36.4,8.7,248.8,82.9,True,False
RUB-013,Campo Rubiales,Norte,Gas Lift,Activo,2012-05-05,2026-07-15,2417.2,128.9,2.76,55.5,12.4,194.1,93.0,True,False
RUB-014,Campo Rubiales,Centro,Bombeo Mecanico,Cerrado,2019-06-06,2026-06-24,2676.6,0.0,0.71,32.9,8.9,10.1,87.7,False,False
RUB-015,Campo Rubiales,Occidente,BES,Activo,2023-07-18,2026-07-03,2496.7,310.4,0.99,14.9,12.6,315.6,83.6,True,False
RUB-016,Campo Rubiales,Sur,Gas Lift,Activo,2014-01-04,2026-07-12,2811.7,108.7,1.55,50.7,12.8,214.9,90.9,True,False
RUB-017,Campo Rubiales,Occidente,Gas Lift,Cerrado,2009-10-23,2026-07-01,2792.6,0.0,2.04,60.4,11.8,0.3,72.3,False,True
RUB-018,Campo Rubiales,Occidente,BES,Activo,2023-03-13,2026-07-16,2676.0,442.3,0.65,11.3,12.9,297.7,81.8,True,False
RUB-019,Campo Rubiales,Centro,BES,En Mantenimiento,2018-07-12,2026-07-14,2589.6,42.2,2.67,40.8,8.3,205.6,74.5,False,True
RUB-020,Campo Rubiales,Norte,Flujo Natural,En Mantenimiento,2010-06-14,2026-07-18,2284.7,5.2,0.73,48.8,10.7,196.3,70.5,False,True
RUB-021,Campo Rubiales,Centro,BES,Activo,2017-03-06,2026-07-14,2038.4,309.6,3.04,45.1,8.9,214.1,92.6,True,False
RUB-022,Campo Rubiales,Oriente,Bombeo Mecanico,En Mantenimiento,2010-03-18,2026-07-17,2324.7,12.2,1.77,78.9,14.6,157.5,85.7,False,True
RUB-023,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2009-08-13,2026-06-26,2336.0,4.8,2.03,73.7,7.5,108.6,79.1,True,True
RUB-024,Campo Rubiales,Norte,BES,En Mantenimiento,2013-07-06,2026-06-29,1893.0,4.6,2.76,61.5,11.0,235.4,93.9,False,True
RUB-025,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2012-04-22,2026-06-29,2099.5,89.9,1.54,64.9,12.9,250.5,88.0,True,False
RUB-026,Campo Rubiales,Occidente,BES,Activo,2016-07-16,2026-06-27,2225.0,274.6,2.21,45.0,11.8,230.5,88.7,True,False
RUB-027,Campo Rubiales,Centro,Bombeo Mecanico,Cerrado,2010-01-04,2026-07-20,2314.3,0.0,2.46,48.7,11.0,11.7,77.0,False,False
RUB-028,Campo Rubiales,Oriente,Flujo Natural,Activo,2011-03-01,2026-07-16,2261.9,44.0,0.86,71.8,13.8,240.0,81.9,True,False
RUB-029,Campo Rubiales,Occidente,Flujo Natural,Activo,2016-10-07,2026-06-28,2992.2,54.0,0.66,39.2,10.1,230.5,87.5,True,False
RUB-030,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2013-12-28,2026-06-24,2347.8,124.0,1.54,63.1,13.7,218.3,70.3,True,False
RUB-031,Campo Rubiales,Oriente,Flujo Natural,Activo,2011-06-23,2026-07-17,2020.1,25.7,1.0,61.3,13.4,229.0,96.8,True,False
RUB-032,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2012-01-17,2026-06-24,2056.7,70.2,1.7,52.2,12.9,229.7,92.4,True,False
RUB-033,Campo Rubiales,Occidente,Flujo Natural,Activo,2010-12-09,2026-06-26,2847.2,43.9,0.93,62.8,12.1,211.1,92.8,True,True
RUB-034,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2012-01-17,2026-07-17,2735.4,124.5,1.39,41.4,13.3,162.9,94.2,True,True
RUB-035,Campo Rubiales,Oriente,BES,En Mantenimiento,2013-01-16,2026-06-22,2078.6,26.1,4.43,44.5,14.8,183.4,92.0,False,True
RUB-036,Campo Rubiales,Norte,BES,Activo,2019-03-17,2026-07-01,1995.7,269.1,2.52,38.9,9.3,216.2,94.9,True,True
RUB-037,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2016-03-25,2026-07-16,2477.5,99.5,1.36,45.4,13.8,202.6,78.3,True,False
RUB-038,Campo Rubiales,Occidente,Flujo Natural,Activo,2008-01-14,2026-07-01,3096.5,32.2,1.26,74.2,10.7,243.1,64.5,True,False
RUB-039,Campo Rubiales,Oriente,BES,Activo,2015-07-01,2026-07-20,2165.8,345.4,3.13,54.1,13.2,215.6,78.9,True,False
RUB-040,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2009-02-06,2026-07-05,2183.0,80.3,1.66,57.9,12.6,186.7,87.3,True,False
RUB-041,Campo Rubiales,Centro,BES,Activo,2020-11-29,2026-06-27,2228.4,262.5,1.59,32.6,9.6,278.4,76.6,True,False
RUB-042,Campo Rubiales,Oriente,BES,Activo,2009-02-25,2026-06-29,2460.9,47.3,5.58,58.7,13.2,141.7,65.1,True,False
RUB-043,Campo Rubiales,Occidente,BES,Activo,2021-10-06,2026-07-07,2636.5,270.8,1.05,17.8,13.0,250.0,78.2,True,False
RUB-044,Campo Rubiales,Centro,BES,Cerrado,2016-02-29,2026-07-11,1996.2,0.0,3.52,59.1,9.8,4.0,93.2,False,True
RUB-045,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2018-12-20,2026-07-15,2521.7,154.8,1.07,27.4,11.0,215.9,89.3,True,False
RUB-046,Campo Rubiales,Occidente,BES,Activo,2021-03-08,2026-07-10,2563.3,305.9,1.07,37.0,10.9,299.7,78.7,True,True
RUB-047,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2018-12-04,2026-07-11,2093.2,87.3,0.91,35.0,10.9,282.7,95.7,True,False
RUB-048,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2021-09-28,2026-07-12,2116.3,107.4,0.46,21.0,14.5,275.0,89.4,True,False
RUB-049,Campo Rubiales,Oriente,BES,Activo,2022-10-09,2026-07-04,2301.5,359.9,0.99,23.7,13.8,268.1,78.6,True,False
RUB-050,Campo Rubiales,Oriente,Bombeo Mecanico,Cerrado,2015-12-13,2026-07-17,2156.7,0.0,0.88,41.9,13.9,2.5,79.7,False,True
RUB-051,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2015-05-01,2026-07-21,2003.4,125.2,1.25,51.2,11.4,236.6,94.5,True,False
RUB-052,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2017-05-20,2026-07-01,2695.5,161.2,1.37,28.3,13.8,201.5,74.4,True,True
RUB-053,Campo Rubiales,Occidente,Gas Lift,Activo,2021-04-18,2026-06-23,2514.8,185.9,1.14,23.2,14.5,305.7,80.9,True,True
RUB-054,Campo Rubiales,Occidente,BES,Activo,2014-04-30,2026-06-30,2893.6,325.9,2.47,53.1,12.1,238.8,74.0,True,False
RUB-055,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2022-11-06,2026-07-09,2179.4,150.4,0.51,10.4,7.6,266.8,90.4,True,False
RUB-056,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2020-09-11,2026-07-15,2997.4,137.8,0.82,33.2,8.6,258.8,65.2,True,False
RUB-057,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2021-07-18,2026-07-16,2166.4,142.2,0.57,33.8,13.5,263.5,89.0,True,False
RUB-058,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2011-03-21,2026-06-29,2973.3,83.1,2.31,51.8,14.9,162.6,88.1,True,True
RUB-059,Campo Rubiales,Occidente,Gas Lift,Activo,2015-07-05,2026-07-09,2908.7,211.7,1.6,50.2,13.6,205.4,79.4,True,True
RUB-060,Campo Rubiales,Centro,Gas Lift,Activo,2013-09-17,2026-06-29,2457.2,127.6,1.67,44.4,10.1,239.4,90.6,True,True
RUB-061,Campo Rubiales,Occidente,Gas Lift,Activo,2017-07-08,2026-06-23,2813.9,166.7,1.13,41.8,12.4,252.6,79.5,True,False
RUB-062,Campo Rubiales,Occidente,BES,Activo,2020-01-10,2026-06-22,2633.2,365.1,1.86,31.1,12.8,235.3,85.4,True,False
RUB-063,Campo Rubiales,Oriente,Flujo Natural,Activo,2017-02-19,2026-06-29,2172.5,30.2,0.55,39.4,14.1,302.1,91.0,True,True
RUB-064,Campo Rubiales,Centro,BES,Activo,2021-03-18,2026-07-05,2348.6,371.8,1.63,25.6,9.1,313.4,91.0,True,False
RUB-065,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2009-08-14,2026-06-30,2390.3,108.6,1.61,62.9,12.4,199.1,66.3,True,True
RUB-066,Campo Rubiales,Norte,BES,Activo,2010-07-05,2026-07-07,1591.9,297.4,5.68,71.5,11.0,150.7,90.7,True,True
RUB-067,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2020-07-02,2026-07-07,2875.3,133.2,0.56,18.7,12.1,247.2,65.7,True,False
RUB-068,Campo Rubiales,Occidente,BES,Activo,2023-03-01,2026-07-18,3235.7,303.8,0.83,33.1,12.1,276.2,77.4,True,False
RUB-069,Campo Rubiales,Occidente,Gas Lift,Activo,2014-07-04,2026-07-05,2717.8,138.8,1.96,67.6,13.1,193.9,68.8,True,False
RUB-070,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2021-03-06,2026-07-07,3141.9,122.6,0.48,23.2,9.7,248.3,95.0,True,True
RUB-071,Campo Rubiales,Sur,BES,Activo,2022-09-10,2026-06-25,2815.1,398.3,1.17,21.6,10.8,265.7,90.8,True,False
RUB-072,Campo Rubiales,Norte,Gas Lift,Activo,2018-08-23,2026-06-28,2449.1,142.8,1.7,34.9,9.4,259.5,77.4,True,False
RUB-073,Campo Rubiales,Sur,BES,Activo,2020-02-08,2026-07-09,2625.5,367.3,2.04,34.8,15.1,268.7,90.5,True,False
RUB-074,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2016-01-16,2026-07-14,2343.0,171.0,1.33,46.2,8.2,189.0,87.0,True,False
RUB-075,Campo Rubiales,Sur,Flujo Natural,Activo,2012-09-27,2026-07-02,2771.4,66.0,0.86,49.0,12.2,198.6,87.3,True,True
RUB-076,Campo Rubiales,Norte,Bombeo Mecanico,Cerrado,2016-12-09,2026-06-22,2093.5,0.0,0.98,34.0,8.3,14.9,95.4,False,True
RUB-077,Campo Rubiales,Occidente,BES,Activo,2016-05-03,2026-07-13,2975.7,190.7,2.87,48.1,11.4,204.4,75.0,True,True
RUB-078,Campo Rubiales,Oriente,Gas Lift,Activo,2016-02-15,2026-07-21,2144.5,154.4,1.49,51.8,15.6,219.7,85.0,True,True
RUB-079,Campo Rubiales,Occidente,Bombeo Mecanico,Activo,2013-02-01,2026-06-26,2738.5,145.6,1.24,53.9,13.3,185.0,75.0,True,True
RUB-080,Campo Rubiales,Sur,BES,Activo,2018-06-02,2026-06-28,2683.9,281.9,2.33,51.5,14.5,236.2,85.1,True,False
RUB-081,Campo Rubiales,Sur,Flujo Natural,En Mantenimiento,2008-03-29,2026-07-12,2645.4,4.7,1.04,75.8,12.1,185.5,92.1,False,True
RUB-082,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2013-02-06,2026-06-22,2544.9,102.6,1.1,51.9,13.0,179.6,87.5,True,False
RUB-083,Campo Rubiales,Oriente,Gas Lift,Activo,2021-11-25,2026-06-22,2311.0,236.3,0.57,32.3,11.8,292.3,65.8,True,False
RUB-084,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2009-10-30,2026-07-06,2549.4,95.9,1.85,58.2,15.0,156.6,88.1,True,False
RUB-085,Campo Rubiales,Norte,Flujo Natural,Activo,2011-05-12,2026-07-09,1813.9,66.9,0.91,56.2,11.5,219.1,85.8,True,True
RUB-086,Campo Rubiales,Norte,Bombeo Mecanico,Activo,2016-07-24,2026-07-14,1991.7,94.5,1.28,43.5,12.4,240.4,95.7,True,False
RUB-087,Campo Rubiales,Oriente,Gas Lift,Activo,2015-06-12,2026-06-29,2427.9,246.1,2.0,43.9,13.3,244.4,90.6,True,False
RUB-088,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2015-11-29,2026-07-10,2793.7,30.2,1.37,44.4,12.2,254.8,93.3,True,False
RUB-089,Campo Rubiales,Occidente,Gas Lift,En Mantenimiento,2010-11-05,2026-07-09,2455.2,10.0,2.17,60.5,12.0,224.1,68.2,False,True
RUB-090,Campo Rubiales,Sur,Flujo Natural,Activo,2013-07-04,2026-07-18,2882.8,47.1,0.59,49.7,12.3,240.9,77.9,True,False
RUB-091,Campo Rubiales,Oriente,Flujo Natural,Cerrado,2011-04-16,2026-07-10,2157.5,0.0,0.75,75.5,15.8,4.6,93.5,False,True
RUB-092,Campo Rubiales,Sur,Gas Lift,Activo,2020-03-10,2026-07-06,2587.0,79.9,0.76,17.3,12.6,240.8,64.5,True,False
RUB-093,Campo Rubiales,Sur,Bombeo Mecanico,Activo,2011-05-31,2026-07-05,2200.8,53.0,2.1,51.2,11.7,209.1,81.9,True,False
RUB-094,Campo Rubiales,Centro,Flujo Natural,Activo,2013-02-23,2026-07-09,2442.8,59.7,0.91,54.5,10.9,211.8,96.7,True,False
RUB-095,Campo Rubiales,Oriente,BES,Activo,2014-10-12,2026-06-25,2075.7,257.3,3.95,46.4,16.1,195.8,73.4,True,False
RUB-096,Campo Rubiales,Oriente,BES,Cerrado,2021-07-15,2026-07-12,2098.1,0.0,0.97,34.6,13.1,9.1,66.4,False,True
RUB-097,Campo Rubiales,Sur,BES,En Mantenimiento,2008-10-16,2026-06-28,3061.0,23.3,6.15,76.4,12.5,160.7,64.2,False,True
RUB-098,Campo Rubiales,Norte,Gas Lift,Activo,2021-01-07,2026-07-10,1570.8,190.9,1.1,20.3,11.4,258.7,66.7,True,True
RUB-099,Campo Rubiales,Sur,BES,Activo,2020-01-01,2026-07-15,2698.6,379.3,2.18,25.0,12.6,308.4,96.5,True,False
RUB-100,Campo Rubiales,Norte,Bombeo Mecanico,En Mantenimiento,2008-08-21,2026-06-28,2272.5,10.5,1.52,69.3,10.3,202.2,72.8,False,True
RUB-101,Campo Rubiales,Occidente,BES,Activo,2013-03-13,2026-07-09,2603.3,261.0,4.36,52.0,12.7,214.7,89.1,True,False
RUB-102,Campo Rubiales,Oriente,Bombeo Mecanico,Activo,2020-05-02,2026-07-13,2545.0,118.5,0.7,31.5,14.8,241.6,83.4,True,False
RUB-103,Campo Rubiales,Centro,Bombeo Mecanico,Activo,2013-05-29,2026-07-13,2391.2,51.5,1.52,61.2,12.1,222.5,68.2,True,False
RUB-104,Campo Rubiales,Oriente,Gas Lift,Activo,2023-09-17,2026-07-13,2535.2,260.9,0.35,21.9,13.2,282.8,74.0,True,False
